Id,中文,繁体,英文,西班牙语,德语,法语,印度尼西亚,葡萄牙语,泰语,意大利语
Id,Chinese,Chinese_tw,English,Spanish,German,French,Indonesian,Portugese,Thai,Italian
string,string,string,string,string,string,string,string,string,string,string
txt_or,或,或,or,ou,o,oder,o,ou,หรือ,atau
txt_work_time,烹饪时间:,烹飪時間:,Work time:,Temps de travail?:,Tempo di lavoro:,Arbeitszeit:,Tiempo de trabajo:,Tempo de trabalho:,เวลางาน:,Waktu kerja:
txt_upgrade_level,下次升级在关卡{0}解锁,下次升級在{0}關解鎖,Next upgrade at level {0},Prochaine mise à jour au niveau {0},Prossimo miglioramento al livello {0},N?chstes Upgrade auf Stufe {0},Siguiente actualización en el nivel {0},Próximo upgrade no nível {0},อัปเกรดครั้งต่อไปที่ระดับ {0},Peningkatan berikutnya di level {0}
txt_unlock,{0}关解锁,{0}關解鎖,Level {0},Niveau {0},Livello {0},Level {0},Nivel {0},Nível {0},ระดับ {0},Tingkat {0}
txt_unlock_x,未解锁,未解鎖,Not unlocked,Non déverrouillé,Non sbloccato,Nicht freigeschaltet,No desbloqueado,N?o desbloqueado,ไม่ได้ปลดล็อก,Terkunci
txt_num,数量:,數量:,Number:,Numéro?:,Numero:,Nummer:,Número:,Número:,จำนวน:,Jumlah:
txt_burn_time,烧焦时间:,燒焦時間:,Burn time:,Durée de cuisson?:,Tempo di bruciatura:,Brenndauer:,Tiempo de quemar:,Tempo de queima:,เวลาเผาไหม้:,Waktu pembakaran:
txt_fresh_decay,保鲜减缓:,保鮮減緩:,Fresh decay:,Décomposition fra?che?:,Scadenza:,Frischer Verfall:,Deterioro fresco:,Decadência recente:,การสลายตัวใหม่:,Peluruhan baru:
txt_game_level,第{0}关,第{0}關,Level {0},Niveau {0},Livello {0},Level {0},Nivel {0},Nível {0},ระดับ {0},Tingkat {0}
txt_cw_hight_lev,已拥有,已擁有,Owend,Piégé,Posseduto,Besessen,Owend,Possuído,เป็นเจ้าของ,Dimiliki
txt_level,{0}级,{0}級,Lev {0},Niv {0},Liv {0},Lev {0},Lev {0},Nível {0},ระดับ {0},Tingkat {0}
cookmore,"购买新厨具,{0}烹饪更多菜品!","購買新廚具,{0}烹飪更多菜品!",Cooking more dishes!,Cuisiner plus de plats?!,Cucina più piatti!,Mehr Gerichte kochen!,?Cocinando más platos!,Preparando mais pratos!,ทำอาหารเพิ่ม!,Memasak lebih banyak hidangan!
txt_trying_holding,试用将在明天0点结束! {0}购买{1}对烹饪更有帮助。,試用將在明天0點結束! {0}購買{1}對烹飪更有幫助。,Try time will end the next day! {0} Buy {1} for more useful.,Le temps d'essai se terminera le lendemain! {0} Achète {1} pour plus d'utilité.,Il tempo di prova finirà il giorno successivo! {0} Acquista {1} per ulteriore utilizzo.,Die Testzeit endet am n?chsten Tag! {0} Kaufen Sie {1} für weitere nützliche Informationen.,?El tiempo de prueba terminará al día siguiente! {0} Compra {1} para obtener más información.,O tempo de teste terminará no dia seguinte! {0} Compre {1} para obter mais informa??es.,ลองเวลาจะสิ้นสุดในวันถัดไป! {0} ซื้อ {1} เพื่อประโยชน์มากขึ้น,Waktu percobaan akan berakhir keesokan harinya! {0} Beli {1} untuk lebih bermanfaat.
txt_trying_finish,{0}试用已经结束啦，现在去商店购买？,{0}試用已經結束啦，現在去商店購買？,"{0} trial is over, purchase now from the shop?","{0} la période d'essai est terminée, acheter maintenant dans la boutique??","{0} il periodo di prova è terminato, acquistare ora dal negozio?","{0} Testversion ist beendet, jetzt im Shop kaufen?","{0} la prueba ha terminado, ?comprar ahora en la tienda?","O teste de {0} acabou, comprar agora na loja?",การทดลองใช้ {0} สิ้นสุดลงแล้ว ซื้อตอนนี้จากร้านค้าหรือไม่?,"Uji coba {0} sudah berakhir, beli sekarang dari toko?"
purchased,购买成功!,購買成功!,Purchased success!,Achat réussi!,Acquisto riuscito!,Gekaufter Erfolg!,??xito comprado!,Sucesso na compra!,ซื้อสำเร็จ!,Membeli berhasil!
fast_cook,速度最快,速度最快,Fast cooking!,Cuisson rapide!,Cucina veloce!,Schnelles kochen!,?Cocción rápida!,Cozimento rápido!,ทำอาหารเร็ว!,Memasak cepat!
never_burn,永不烧焦,永不烧焦,Never burn!,Ne br?le jamais tes plats!,Non bruciare nulla!,Niemals verbrennen!,?Nunca te quemes!,Nunca queime!,ห้ามเผา!,Jangan pernah terbakar!
upgrade_gem,用钻石来升级?,用鑽石來升級?,Upgrade with diamonds?,Mettre à niveau avec des diamants?,Migliorare con i diamanti?,Upgrade mit Diamanten?,?Actualizar con diamantes?,Atualizar com diamantes?,อัปเกรดด้วยเพชร?,Tingkatkan dengan berlian?
upgrade_coin_gem,用金币和钻石一起来升级?,用金幣和鑽石一起來升級?,Upgrade with diamonds and coins?,Mettre à niveau avec des diamants et des pièces?,Migliorare con diamanti e monete?,Upgrade mit Diamanten und Münzen?,?Actualizar con diamantes y monedas?,Atualizar com diamantes e moedas?,อัปเกรดด้วยเพชรและเหรียญ?,Tingkatkan dengan berlian dan koin?
unlock_tip,已解锁!,已解鎖!,unlocked!,déverrouillé!,sbloccato!,freigeschaltet!,?desbloqueado!,desbloqueado!,ปลดล็อค!,tidak terkunci!
lose_enery,您将会丢失{0}X{1},您將會丟失{0}x{1},You will lost {0} X{1},Tu vas perdre {0} X {1},Perderai {0}X{1},Sie werden {0} X {1} verlieren,Perderás {0}X{1},Você perderá {0} X {1},คุณจะสูญเสีย {0} X {1},Kau akan kehilangan {0} X {1}
guide_welcome,欢迎来到梦幻餐厅物语！瞧~第一位顾客已经来了。,歡迎來到夢幻餐廳物語！瞧~第一位顧客已經在來了。,Welcome to My Restaurant Empire! Look~ the first customer is coming.,Bienvenue dans My Restaurant Empire! Regarde ~ le premier client arrive.,"Benvenuto in My Restaurant Empire! Guarda, sta arrivando il primo cliente.",Willkommen bei My Restaurant Empire! Schau ~ der erste Kunde kommt.,?Bienvenido a Mi Imperio de Restaurantes! Mira ~ viene el primer cliente.,Bem-vindo ao My Restaurant Empire! Olha ~ o primeiro cliente está chegando.,ยินดีต้อนรับสู่ My Restaurant Empire! ดูสิลูกค้าคนแรกกำลังจะมา,Selamat datang di Kerajaan Restoran Milikku! Lihat ~ pelanggan pertama akan datang.
guide_cus_want,顾客想要{0}，我们来制作吧。,顧客想要{0}，我們來製作吧。,A {0} is ordered. Let's make it now.,Un {0} est commandé. Préparons-le maintenant.,Viene ordinato un {0}. Prepariamolo.,Eine {0} wird bestellt. Lassen Sie es uns jetzt machen.,Pide un {0}. Hagámoslo ahora.,Um {0} é pedido. Vamos fazer isso agora.,สั่งซื้อ {0} มาสร้างกันเถอะ,A {0} dipesan. Ayo buat sekarang.
md_take_sth,拿取{0},拿取{0},Get the {0},Prends le(s) {0},Ottieni il {0},Holen Sie sich die {0},Obtén el {0},Pegue o {0},รับ {0},Dapatkan {0}
md_put_to_sth,把它放进{0},把它放進{0},Put it on the {0}!,Mets-le sur le {0}!,Mettilo su {0}!,Setzen Sie es auf die {0}!,?Ponlo en el {0}!,Coloque no {0}!,วางไว้บน {0}!,Taruh di {0}!
md_put_them_to_sth,把它们放进{0},把它們放進{0},Put them on the {0}!,Mets-les sur le {0}?!,Mettili su {0}!,Setzen Sie diese auf die {0}!,?Ponlos en el {0}!,Coloque-os no {0}!,วางไว้บน {0}!,Tempatkan mereka di {0}!
md_pick_cooked_food,请拿起做好的菜品。,請拿起做好的菜品。,Please pick up the cooked dish!,Prends le plat cuisiné!,Prendi il piatto cucinato!,Bitte holen Sie das gekochte Gericht ab!,"?Por favor, recoge el plato cocinado!",Pegue o prato cozido!,กรุณาหยิบจานที่ปรุงแล้ว!,Silakan ambil hidangan yang sudah dimasak!
md_take_to_cus,把它拿给顾客。,把它拿給顧客。,Please give it to the customer!,Donne-le au client!,Servilo al cliente!,Bitte geben Sie es dem Kunden!,?Dáselo al cliente!,"Por favor, dê ao cliente!",ขอมอบให้ลูกค้า!,Tolong berikan pada pelanggan!
md_cook_more,好极了！一起招待顾客赚取更多钱吧。,好極了！一起招待顧客賺取更多錢吧。,Fantastic! Earn more by serving more customers!,Fantastique! Gagne plus en servant plus de clients!,Fantastico! Guadagna di più servendo più clienti!,"Fantastisch! Verdienen Sie mehr, indem Sie mehr Kunden bedienen!",?Fantástico! ?Gana más atendiendo a más clientes!,Fantástico! Ganhe mais atendendo a mais clientes!,สุดยอด! รับรายได้มากขึ้นจากการให้บริการลูกค้ามากขึ้น!,Fantastis! Hasilkan lebih banyak dengan melayani lebih banyak pelanggan!
md_take2_ing,双手拿食材能提高工作效率！,雙手拿食材能提高工作效率！,Pick up ingredients on both hands to improve efficiency.,Ramasse les ingrédients avec les deux mains pour améliorer l'efficacité.,Raccogli gli ingredienti con entrambe le mani per migliorare l'efficienza.,"Nehmen Sie die Zutaten mit beiden H?nden auf, um die Effizienz zu verbessern.",Recoge los ingredientes con las dos manos para mejorar la eficiencia.,Pegue os ingredientes com as duas m?os para melhorar a eficiência.,หยิบส่วนผสมทั้งสองมือเพื่อปรับปรุงประสิทธิภาพ,Ambil bahan di kedua tangan untuk meningkatkan efisiensi.
md_help_service,提前做好菜品，能让我们快速服务顾客。,提前做好菜品，能讓我們快速服務顧客。,Pre-make dishes to serve customers faster.,Prépare des plats pour servir les clients plus rapidement.,Prepara i piatti per servire i clienti più velocemente.,"Bereiten Sie Gerichte im vorhinein vor, um die Kunden schneller zu bedienen.",Prepara platos para servir a los clientes más rápido.,Pré-prepare os pratos para atender mais rapidamente os clientes.,ทำอาหารล่วงหน้าเพื่อให้บริการลูกค้าได้เร็วขึ้น,Hidangan dibuat sebelumnya untuk melayani pelanggan lebih cepat.
md_pre_make,{0}不会烧焦，提前做好菜品，下次服务顾客更轻松。,{0}不會燒焦，提前做好菜品，下次服務顧客更輕鬆。,{0} doesn't burn. Pre-make the dish and serve it with ease.,{0} ne br?le pas. Prépare le plat et sers-le facilement.,{0} non brucia. Prepara il piatto e servilo con facilità.,{0} brennt nicht. Bereiten Sie das Gericht im vorhinein vor und servieren Sie es mit Leichtigkeit.,{0} no se quema. Prepara el plato y sírvelo con facilidad.,{0} n?o queima. Pré-prepare o prato e sirva com facilidade.,{0} ไม่ไหม้ เตรียมอาหารล่วงหน้าและเสิร์ฟได้อย่างง่ายดาย,{0} tidak terbakar. Buat hidangan terlebih dahulu dan sajikan dengan mudah.
put_ing_back,点击相同食材能放回货架。,點擊相同食材能放回貨架。,Tap the same ingredient to shelf it.,Appuie sur le même ingrédient pour le conserver.,Tocca lo stesso ingrediente per conservarlo.,"Tippen Sie auf dieselbe Zutat, um sie zu lagern.",Toca el mismo ingrediente para almacenarlo.,Toque no mesmo ingrediente para colocá-lo na prateleira.,แตะส่วนผสมเดียวกันเพื่อจัดเก็บ,Ketuk bahan yang sama untuk menyimpannya.
take_burn_food,菜品烧焦了，把它拿起来扔进垃圾桶!,菜品燒焦了，把它拿起來扔進垃圾桶!,Food overburned. Pick it up and throw it in the trash！,Nourriture trop cuite. Prends-la et jette-la à la poubelle!,Cibo bruciato. Raccoglilo e gettalo nella spazzatura!,Essen verbrannt. Heben Sie es auf und werfen Sie es in den Müll!,Comida requemada. Recógela y tírala a la basura!,Alimento queimado demais. Pegue-o e jogue-o no lixo!,อาหารไหม้เกินไป หยิบแล้วทิ้งลงถังขยะ,Makanan gosong. Ambil dan buang ke tempat sampah!
trash_follow_guide,点击垃圾桶，把烧焦或多余的食材丢掉。,點擊垃圾桶，把燒焦或多餘的食材丟掉。,Tap the trash can to throw overburned or unwanted food away.,Appuie sur la poubelle pour jeter les aliments trop br?lés ou indésirables.,Tocca il cestino per gettare via il cibo bruciato o indesiderato.,"Tippen Sie auf den Mülleimer, um verbrannte oder unerwünschte Lebensmittel wegzuwerfen.",Toca el cubo de basura para tirar la comida quemada o no deseada.,Toque na lixeira para jogar fora alimentos queimados ou indesejados.,แตะถังขยะเพื่อทิ้งอาหารที่ไหม้เกรียมหรือไม่ต้องการทิ้งไป,Ketuk tempat sampah untuk membuang makanan yang terlalu gosong atau tidak diinginkan.
trash_finished_trash,不错，学会使用垃圾桶了，点击继续烹饪吧!,不錯，學會使用垃圾桶了，點擊繼續烹飪吧!,Well done! Let's cooking dishes now.,Bien joué! Préparons les plats maintenant.,Molto bene! Adesso cuciniamo i piatti.,Gut gemacht! Lassen Sie uns jetzt Gerichte kochen.,?Bien hecho! Vamos a cocinar platos ahora.,Bem feito! Vamos cozinhar pratos agora.,ทำได้ดี! มาทำอาหารกันเถอะ,Sudah selesai dilakukan dengan baik! Ayo masak masakan sekarang.
trash_put_to_cw,请将手上的{0}放进{1},請將手上的{0}放進{1},Please put {0} on the {1}.,Mets le(s) {0} sur le {1}.,Metti {0} su {1}.,Bitte setzen Sie {0} auf die {1}.,Coloca {0} en el {1}.,Coloque {0} no {1}.,โปรดใส่ {0} บน {1},Harap letakkan {0} di {1}.
md_no_ing_cw,{0}是预置食材的厨具，点击就能工作，来试一下吧~,{0}是預置食材的廚具，點擊就能工作，來試一下吧~,Tap this kitchenware to pre-make your dish. Try it!,Appuie sur cet ustensile de cuisine pour préparer ton plat. Go?te-le!,Tocca queste stoviglie per preparare il piatto. Provalo!,"Tippen Sie auf dieses Küchengeschirr, um Ihr Gericht vorzubereiten. Versuchen Sie es!",Toca estos utensilios de cocina para preparar previamente su plato. ?Inténtalo!,Toque neste utensílio de cozinha para pré-preparar seu prato. Tente!,แตะเครื่องครัวนี้เพื่อทำอาหารล่วงหน้า ลองมัน!,Ketuk peralatan dapur ini untuk membuat hidanganmu terlebih dahulu. Cobalah!
md_study_mult_food,让多个厨具同时工作，是高手的秘诀！现在学习吧。,讓多個廚具同時工作，是高手的秘訣！現在學習吧。,Cooking multiple dishes at once is the secret to success! Start learning now.,Cuire plusieurs plats à la fois est le secret du succès! Commence à apprendre maintenant.,Cucinare più piatti contemporaneamente è il segreto del successo! Inizia subito a imparare.,"Das gleichzeitige kochen mehrerer Gerichte ist das Erfolgsgeheimnis! Fangen Sie jetzt an, zu lernen.",?Cocinar varios platos a la vez es el secreto del éxito! Empieza a aprender ahora.,Cozinhar vários pratos ao mesmo tempo é o segredo do sucesso! Comece a aprender agora.,การทำอาหารหลายจานพร้อมกันคือเคล็ดลับสู่ความสำเร็จ! เริ่มเรียนรู้เลย,Memasak banyak hidangan sekaligus adalah rahasia kesuksesan! Mulai belajar sekarang.
md_make_other_together,制作{0}的同时，还可以做{1}。,製作{0}的同時，還可以做{1}。,"When making {0}, we can also make {1}.","En préparant un {0}, nous pouvons également préparer un {1}.","Quando prepariamo {0}, possiamo anche preparare {1}.","Wenn wir {0} machen, k?nnen wir auch {1} machen.","Al hacer {0}, también podemos hacer {1}.","Ao fazer {0}, também podemos fazer {1}.",เมื่อสร้าง {0} เราสามารถสร้าง {1} ได้,"Saat membuat {0}, kita juga dapat membuat {1}."
md_remind_use_mult,再练习一下菜品同时制作吧。,再練習一下菜品同時製作吧。,Let's practice making the dishes at the same time.,Entra?nons-nous à faire la vaisselle en même temps.,Esercitiamoci a preparare i piatti contemporaneamente.,"Lassen Sie uns gleichzeitig üben, ddie Gerichte zuzubereiten.",Practiquemos hacer los platos al mismo tiempo.,Vamos praticar fazer os pratos ao mesmo tempo.,มาฝึกทำอาหารไปพร้อม ๆ กัน,Ayo berlatih membuat hidangan pada saat bersamaan.
watchTip_2_cus_come,来了2位顾客，他们要菜品都不同,来了2位顧客，他們要菜品都不同,"There come 2 customers, and they ordered 2 different dishes.",Il y a 2 clients et ils ont commandé 2 plats différents.,Arrivano 2 clienti e ordinano 2 piatti diversi.,"Es kommen 2 Kunden, und sie bestellten 2 verschiedene Gerichte.",Vinieron 2 clientes y pidieron 2 platos diferentes.,Chegaram 2 clientes e eles pediram 2 pratos diferentes.,มีลูกค้ามา 2 คน สั่งคนละ 2 จาน,"Ada 2 pelanggan, dan mereka memesan 2 hidangan berbeda."
watchTip_follow_guide,点击顾客，能查看菜品制作说明.,點擊顧客，能查看菜品制作說明,"Tap on the customer,and check the recipe.",Appuie sur le client et vérifie la recette.,Tocca il cliente e controlla la ricetta.,Tippen Sie auf den Kunden und überprüfen Sie das Rezept.,Toca en el cliente y comprueba la receta.,Toque no cliente e veja a receita.,แตะที่ลูกค้าและตรวจสอบสูตร,"Ketuk pelanggan,dan periksa resepnya."
watch_tip_watch,在这里能查看菜品的制作步骤说明,在這裡能查看菜品的製作步驟說明,Please check the recipe in here.,Vérifie la recette ici.,Controllare la ricetta qui.,Bitte überprüfen Sie das Rezept hier.,Consulta la receta aquí.,Veja a receita aqui.,โปรดตรวจสอบสูตรที่นี่,Silakan cek resepnya di sini.
md_officiallyBegin,好极了，我们开始烹饪吧!,好极了，我們开始烹饪吧!,Good job! Now let's cooking begins!,"Bon travail! Maintenant, la cuisine commence!",Buon lavoro! Ora cominciamo a cucinare!,Gut gemacht! Jetzt geht's ans Kochen!,?Buen trabajo! ?Ahora empieza a cocinar!,Bom trabalho! Agora vamos come?ar a cozinhar!,เก่งมาก! มาเริ่มทำอาหารกันเถอะ!,Kerja bagus! Sekarang mari mulai memasak!
txt_continue_lv,继续游戏,繼續遊戲,Continue,Continuer,Continua,Fortsetzen,Continuar,Continuar,ดำเนินการต่อ,Lanjutkan
txt_second_time,+{0}秒,+{0}秒,+{0}S,+{0}S,+{0}S,+ {0} S.,+{0}S,+{0}S,+{0}วินาที,+{0}S
txt_start_game,开始游戏吧!,開始遊戲吧!,Let's go!,Allons-y!,Andiamo!,Los gehts!,?Vámos!,Vamos lá!,ไปกันเถอะ!,Ayo pergi!
txt_guide_active,活动开启啦，挑战成功将赢得神秘大礼盒!,活動開啟啦，挑戰成功將贏得神秘大禮盒!,"The event is opening, and the challenge will win the mystery gift box!",L'événement s'ouvre et le défi accordera le coffret cadeau mystère!,L'evento si sta aprendo e chi vincerà la sfida otterrà la confezione regalo misteriosa!,Die Veranstaltung wird er?ffnet und die Herausforderung wird die mysteri?se Geschenkbox gewinnen!,?El evento está comenzando y el desafío ganará la misteriosa caja de regalo!,"O evento está abrindo, e o desafio será ganhar a caixa de presente misteriosa!",กิจกรรมกำลังเปิดและความท้าทายจะได้รับกล่องของขวัญลึกลับ!,"Acara dibuka, dan tantangannya adalah memenangkan kotak hadiah misteri!"
txt_open_recipe,点击查看本关的烹饪食谱。,點擊查看本關的烹飪食譜。,Click to review the cooking recipe.,Clique pour revoir la recette de cuisine.,Clicca per rivedere la ricetta.,"Klicken Sie hier, um das Kochrezept zu überprüfen.",Haz clic para comprobar la receta de cocina.,Clique para revisar a receita culinária.,คลิกเพื่อดูสูตรการทำอาหาร,Klik untuk meninjau resep memasak.
txt_open_recipe0,点击菜品查看烹饪步骤,點擊菜品查看烹飪步驟,Click on the dish to view the cooking steps.,Clique sur le plat pour afficher les étapes de cuisson.,Clicca sul piatto per visualizzare le fasi di cottura.,"Klicken Sie auf das Gericht, um die Kochschritte anzuzeigen.",Haz clic en el plato para ver los pasos de cocción.,Clique no prato para ver as etapas da prepara??o.,คลิกที่จานเพื่อดูขั้นตอนการทำอาหาร,Klik hidangan untuk melihat langkah-langkah memasaknya.
txt_open_recipe1,这里展示菜品烹饪的详细步骤,這裡展示菜品烹飪的詳細步驟,Here are the detailed steps to show the cooking of the dishes.,Voici les étapes détaillées pour montrer la préparation des plats.,Ecco i passaggi dettagliati per mostrare la cottura dei piatti.,"Hier sind die detaillierten Schritte, um das Kochen der Gerichte anzuzeigen.",Aquí están los pasos detallados para mostrar la cocción de los platos.,Aqui est?o os passos detalhados para mostrar o preparo dos pratos.,นี่คือขั้นตอนโดยละเอียดเพื่อแสดงการปรุงอาหาร,Ini adalah langkah-langkah detail untuk menunjukkan cara memasak hidangan.
txt_open_recipe2,点击练习烹饪该菜品吧。,點擊練習烹飪該菜品吧。,Click on the practice to cook the dish.,Clique sur la pratique pour cuisiner le plat.,Clicca sulla pratica per cucinare il piatto.,"Klicken Sie auf die ?bung, um das Gericht zu kochen.",Haz clic en el entrenamiento para cocinar el plato.,Clique na prática para preparar o prato.,คลิกที่แบบฝึกทำอาหาร,Klik pada latihan untuk memasak hidangan.
txt_open_recipe3,在挑战之前，先看看本关的烹饪食谱吧。,在挑戰之前，先看看本關的烹飪食譜吧。,Please review the cooking recipe frist!,Consulte la première recette de cuisine!,Rivedere la prima ricetta!,Bitte überprüfen Sie das Kochrezept zuerst!,?Comprueba la receta de cocina primero!,Revise a receita culinária primeiro!,โปรดตรวจสอบสูตรการทำอาหารก่อน!,Silakan tinjau resep masakannya terlebih dahulu!
tip_upgrade_it,关卡太难？升级{0}再来试试吧!,關卡太難？升級{0}再來試試吧!,Too difficult? Please upgrade the {0} now!,Trop difficile? Mets à jour le {0} maintenant!,Troppo difficile? Aggiorna il {0} ora!,Zu schwer? Bitte aktualisieren Sie {0} jetzt!,?Demasiado difícil? ?Actualiza el {0} ahora!,Muito difícil? Atualize o {0} agora!,ยากมาก? โปรดอัปเกรด {0} ทันที!,Terlalu sulit? Mohon tingkatkan {0} sekarang!
